donor21_Normal_sample21_14	donor21_Normal_sample21_6	donor21_MDS_sample21_16	donor21_MDS_sample21_29	donor21_MDS_sample21_31	donor22_Normal_sample22_22	donor22_Normal_sample22_27	donor22_Normal_sample22_45	donor22_MDS_sample22_44b	donor23_Normal_sample23_13	donor23_Normal_sample23_28	donor23_Normal_sample23_5	donor23_MDS_sample23_24	donor23_MDS_sample23_38	donor23_MDS_sample23_6
3.156304652.156305634	73	61	40	18	17	29	61	54	8	64	69	69	23	10	30
3.156888541.156889393	185	150	56	44	49	75	171	108	12	157	226	109	36	27	52
3.157328658.157329616	85	54	32	35	30	56	69	73	13	99	115	79	25	13	35
3.158528427.158529385	61	53	16	24	13	22	44	54	4	70	70	52	20	13	25
3.160698705.160699605	81	83	38	36	29	43	113	62	17	95	126	68	32	21	29
3.161657587.161658112	55	32	18	17	21	28	45	39	7	53	51	32	10	8	22
3.168145410.168146300	78	60	23	28	25	36	85	59	12	70	95	64	23	12	39
3.169907643.169907926	64	57	28	25	23	21	45	48	10	60	51	34	11	6	20
3.170070684.170071049	41	41	11	11	12	24	27	26	2	28	32	32	9	9	13
3.171702359.171703204	82	91	29	31	24	40	101	63	9	75	78	58	31	18	35
3.172240820.172241761	184	178	67	77	45	76	194	111	19	186	208	118	35	24	56
3.172286325.172286789	50	45	16	15	13	21	47	43	4	44	48	28	11	6	17
3.172309467.172310566	277	173	71	77	55	120	208	104	14	177	290	244	124	51	125
3.172434022.172435107	106	128	46	46	44	78	140	121	10	135	147	83	41	26	49
3.174048916.174049477	68	62	25	22	24	19	51	60	4	88	83	28	16	13	21
3.177007580.177008219	46	34	9	13	15	18	31	33	1	37	48	29	14	8	11
3.177332764.177333461	97	84	36	24	31	23	96	59	8	64	64	56	24	14	26
3.177432525.177433175	46	30	9	15	14	21	43	36	7	44	46	42	8	11	23
3.178750357.178751185	53	38	95	59	41	10	16	10	26	37	35	33	21	35	68
3.179149437.179150611	96	61	38	24	34	43	84	48	8	91	108	60	20	17	28
3.179413653.179414018	44	32	10	17	15	19	33	28	5	40	56	30	9	11	16
3.179461625.179462098	66	66	34	38	30	25	90	44	8	86	129	70	20	18	34
3.179765779.179766472	81	39	12	20	18	27	47	52	7	62	104	43	11	12	27
3.182410206.182410950	108	60	48	28	29	40	94	77	6	112	103	47	19	19	26
3.182936490.182937134	105	82	29	33	38	57	91	55	8	68	78	61	28	17	25
3.182977478.182978482	119	117	46	45	32	61	100	120	14	112	122	78	23	28	56
3.183097994.183098558	112	93	48	43	52	60	127	87	8	84	92	95	28	25	37
3.183098869.183099566	56	55	21	20	17	47	47	43	9	61	69	46	27	9	28
3.184483474.184484063	91	70	25	37	19	44	83	43	10	40	58	60	23	16	25
3.185050047.185050623	30	48	23	18	7	17	44	30	3	45	61	41	13	12	26
3.185972105.185973773	352	245	103	107	102	251	286	131	22	196	260	250	110	56	109
3.186251757.186252470	96	84	39	22	18	28	76	56	9	76	77	68	16	19	40
3.186800577.186801229	67	56	21	17	30	27	61	48	7	64	68	52	17	14	30
3.186982875.186984038	61	70	353	208	63	30	104	115	69	125	70	66	89	110	231
3.187653543.187654082	87	66	20	23	20	51	79	36	4	59	74	47	19	10	13
3.187815329.187816144	69	80	17	23	24	34	78	36	4	84	96	54	20	14	31
3.187931588.187932677	164	131	59	51	47	65	139	95	11	122	142	106	26	23	61
3.188014387.188015057	80	118	30	30	32	47	112	86	6	64	106	67	37	12	19
3.188107642.188108660	93	72	15	39	31	54	100	48	11	106	99	78	24	12	33
3.188118142.188118701	73	61	13	19	27	37	66	47	7	80	84	47	23	17	19
3.188139468.188140142	116	71	20	38	50	93	101	82	14	100	93	59	23	20	35
3.188506115.188506946	69	89	66	24	19	39	69	64	4	72	95	68	32	18	18
3.188513723.188514443	134	111	72	42	46	73	148	91	14	132	130	113	38	23	37
3.188539865.188540384	85	77	20	21	19	45	77	75	8	67	83	50	28	10	27
3.188658824.188659338	74	47	22	15	23	24	54	36	5	61	44	38	18	10	22
3.188994690.188995083	49	43	20	19	16	29	53	44	6	90	77	32	18	15	22
3.189923595.189923823	31	20	12	13	6	24	14	23	1	27	38	36	13	8	8
3.189949124.189950245	86	119	73	52	17	51	83	106	12	129	166	78	33	15	49
3.190293340.190293792	39	43	11	10	16	25	40	29	4	57	67	32	8	11	10
3.190334553.190335920	185	101	90	66	46	95	158	154	24	243	174	142	53	38	77
3.190571960.190572148	28	24	9	6	6	11	36	40	3	41	48	19	18	8	19
3.190963745.190964353	94	78	25	30	33	37	88	69	3	81	79	52	19	12	27
3.192569638.192570080	64	43	16	25	17	26	37	39	3	47	57	41	15	8	24
3.192610548.192612009	229	154	69	36	53	115	160	121	24	172	208	161	59	42	62
3.192674798.192676096	203	168	130	102	64	101	167	134	17	158	229	145	55	37	65
3.194212689.194213257	118	77	38	26	37	48	109	60	6	69	80	69	36	22	29
3.194751294.194752567	50	39	264	149	35	32	85	60	55	119	75	67	74	95	141
3.195835005.195835746	56	51	55	113	38	20	58	31	44	73	51	54	72	69	88
3.195838623.195839593	208	118	42	56	17	84	102	85	19	102	70	134	38	25	29
4.299971.300984	83	68	25	33	24	59	128	61	9	79	81	61	16	20	45
4.1786241.1788091	134	163	337	237	149	77	167	144	129	108	133	112	143	190	260
4.2489344.2489834	60	64	23	18	6	19	34	22	6	32	37	32	18	17	13
4.2924207.2925220	58	51	114	91	62	29	66	41	60	49	49	57	47	40	74
4.3123699.3124290	36	38	233	118	30	16	57	52	35	79	40	49	80	97	108
4.4341103.4341988	34	45	106	61	50	16	49	41	49	24	30	38	46	91	76
4.4945514.4946291	86	57	30	26	32	67	116	40	9	96	105	79	35	18	39
4.4992682.4993398	50	38	208	45	35	36	29	56	22	58	46	48	69	63	90
4.5046638.5047490	69	75	24	37	16	43	82	61	12	74	99	46	20	18	21
4.6310258.6311333	75	77	212	141	68	38	83	35	62	118	81	60	63	121	103
4.10641982.10642784	93	93	40	31	34	34	65	56	15	98	98	56	20	16	28
4.11568184.11568633	57	31	13	19	14	24	37	31	3	50	46	26	11	6	13
4.13602472.13603232	89	49	20	21	25	48	64	57	10	87	103	50	24	12	22
4.14127077.14127665	53	36	13	10	19	31	64	52	9	46	63	44	12	9	24
4.14167097.14167632	54	64	16	23	24	48	66	47	3	79	81	40	17	12	32
4.14271218.14271905	100	80	27	29	38	53	91	70	9	107	137	64	36	23	51
4.14346885.14347385	54	46	23	26	6	32	36	47	4	50	54	27	15	8	18
4.14865968.14866552	55	57	21	13	13	39	48	39	8	63	81	33	20	12	27
4.15402249.15403288	86	80	30	22	30	58	142	78	16	85	131	54	20	18	38
4.15691239.15691599	33	23	12	15	14	12	26	22	1	31	48	23	13	2	13
4.17597002.17597715	97	89	26	31	29	68	119	58	6	81	114	76	21	14	25
4.22358555.22359284	71	51	32	25	14	36	84	54	12	83	102	72	27	19	40
4.22383807.22384432	61	47	30	27	22	36	57	55	5	86	72	57	19	18	32
4.22789370.22790170	44	50	2	8	6	31	47	32	7	74	80	77	5	6	19
4.26077300.26078534	157	118	60	38	65	78	136	130	9	133	92	110	43	20	51
4.26219220.26220818	210	174	76	75	90	95	185	119	28	176	177	174	52	41	61
4.26379538.26380036	68	41	19	26	18	31	51	49	3	41	59	36	16	9	32
4.26887606.26888560	76	56	21	25	26	51	80	77	10	73	73	67	19	23	32
4.26938907.26939015	29	30	12	20	14	15	43	24	4	35	55	33	10	8	13
4.27067661.27068837	160	161	66	82	70	74	221	139	16	187	214	95	42	40	52
4.27069810.27070554	80	67	25	36	29	33	72	54	6	87	101	37	19	19	36
4.31739000.31739559	72	59	17	44	25	52	103	88	5	104	124	75	21	17	45
4.36304806.36305684	53	42	18	19	11	25	64	59	5	53	82	51	28	8	26
4.36327050.36327862	79	57	25	32	14	23	58	54	8	70	111	69	22	20	25
4.36387302.36388133	110	81	36	61	31	68	116	91	13	165	154	83	34	22	43
4.37473470.37473956	69	65	23	20	40	25	80	45	9	101	160	65	15	16	60
4.37755863.37756673	127	110	54	37	24	42	100	102	18	93	91	81	34	19	46
4.37866109.37867151	105	94	22	33	32	46	119	79	5	63	103	79	33	17	44
4.38745452.38746198	60	48	15	18	11	33	40	31	10	40	60	38	18	6	27
4.38754352.38755139	49	55	210	95	60	32	76	61	48	118	65	52	42	107	87
4.38762894.38763803	148	158	64	62	72	93	199	145	18	159	187	158	57	39	72
4.38787319.38788536	262	193	68	88	87	132	243	124	16	252	280	171	83	33	85
4.40309154.40310507	249	190	72	97	88	117	242	142	31	144	181	177	62	22	83
4.40685739.40686286	75	39	25	27	26	33	73	42	4	49	53	40	10	10	20
4.41514237.41514815	41	44	13	12	20	24	44	42	5	40	61	30	14	10	18
4.47175843.47176329	50	55	10	25	14	18	39	49	3	72	85	25	12	8	19
4.47444836.47445576	99	68	21	23	31	40	95	66	3	102	120	53	29	11	33
4.48038528.48039205	87	52	26	28	23	39	89	51	6	91	97	50	18	5	23
4.54173567.54174560	94	73	30	43	34	32	86	69	10	82	116	60	22	16	40
4.54187361.54188118	23	14	60	45	16	7	24	35	12	38	23	19	52	47	58
4.54614380.54615067	70	43	18	9	25	46	80	23	8	81	105	68	21	17	31
4.54898462.54899253	57	35	14	16	11	19	40	31	6	50	48	37	18	10	26
4.55437219.55438576	83	51	193	116	57	35	95	84	58	85	106	122	122	113	202
4.57917208.57917873	40	42	20	22	11	23	45	45	8	51	62	25	14	7	16
4.67808593.67809331	96	73	12	20	27	47	87	42	2	113	139	43	19	18	16
4.71757839.71758440	81	82	31	33	28	34	67	70	9	79	88	49	28	13	25
4.71810374.71811484	99	76	30	32	27	33	88	76	6	88	98	66	24	19	50
4.71925080.71925560	16	13	52	28	24	10	39	31	17	4	22	7	11	10	31
4.72204668.72205299	95	91	45	43	52	60	93	42	8	112	151	100	40	22	39
4.74173958.74174532	56	33	10	14	18	33	58	43	3	60	71	37	18	16	17
4.74575280.74575597	35	22	17	19	11	16	34	30	2	33	36	36	7	9	13
4.77905303.77906543	34	25	171	70	31	21	42	67	23	91	62	43	57	72	113
4.78114565.78115409	238	195	105	92	56	88	245	202	17	269	293	151	60	47	87
4.78117930.78119311	133	101	39	47	35	44	58	52	6	118	104	70	27	24	42
4.78507910.78508663	54	17	12	12	18	27	40	22	3	81	94	64	17	13	21
4.79543499.79544088	39	22	113	43	41	17	31	37	49	31	39	47	49	79	72
4.80131076.80131985	72	58	136	132	82	22	77	77	36	71	102	69	105	81	210
4.82074915.82075464	43	19	67	53	34	8	38	31	23	34	16	24	25	45	46
4.82483195.82483584	47	27	9	8	15	22	38	21	2	41	42	26	5	2	13
4.82556709.82557317	43	45	8	18	15	10	50	46	5	43	76	34	13	18	27
4.83018558.83019258	81	43	31	23	17	80	48	24	7	65	81	99	26	12	35
4.83563315.83564289	122	90	17	34	23	34	53	27	11	81	86	58	28	15	23
4.84045131.84045862	98	86	40	32	39	50	149	59	8	100	97	81	31	25	31
4.84490647.84491926	129	88	42	36	47	54	100	84	11	103	123	87	28	21	31
4.87486798.87487334	38	34	10	10	18	24	43	46	5	44	43	29	12	11	13
4.87888080.87888755	61	57	21	15	21	24	52	38	6	28	52	43	14	14	17
4.88130531.88131508	103	101	34	40	31	43	105	102	20	109	104	78	35	17	45
4.88772286.88773342	119	133	68	49	33	73	129	111	9	94	95	78	26	14	42
4.88896419.88896994	63	57	18	23	14	30	73	59	8	45	61	39	15	16	20
4.89022189.89022974	135	137	42	31	57	80	134	109	8	135	132	89	34	18	37
4.89779659.89781012	124	123	40	50	36	51	139	89	11	119	116	99	37	21	57
4.90245468.90246352	182	160	51	45	68	130	162	139	10	214	202	152	50	17	57
4.90750599.90751246	106	72	38	30	34	54	105	95	10	141	130	89	29	17	44
4.91985423.91986287	26	14	333	193	51	7	63	42	55	188	65	30	38	101	169
4.99153249.99153695	58	36	33	20	22	33	73	55	6	76	78	42	13	11	23
4.99583956.99585381	104	91	35	43	27	61	114	76	12	141	132	75	37	36	48
4.99649341.99650217	38	38	174	109	45	47	69	82	29	110	68	73	93	79	126
4.100742927.100743597	126	78	41	49	31	36	81	87	10	131	108	90	38	23	50
4.100768354.100769253	103	83	35	31	39	47	97	59	16	113	126	104	27	15	38
4.101902488.101903588	89	87	35	26	45	35	107	62	13	113	107	77	22	24	41
4.101939960.101940600	59	29	10	15	19	35	34	19	5	71	59	37	16	12	15
4.102121680.102122061	53	55	26	21	12	36	36	37	3	39	71	39	21	10	14
4.102126999.102127382	62	69	21	17	22	30	49	50	4	70	84	62	20	12	20
4.102902822.102903282	80	66	15	15	15	54	97	47	6	86	98	70	21	14	26
4.103320279.103320442	29	24	10	3	13	13	30	26	1	30	39	14	8	6	16
4.103445946.103446720	43	48	25	18	13	33	82	48	8	65	72	73	21	12	21
4.103485409.103486030	80	46	22	26	21	62	55	49	4	53	102	90	36	16	23
4.103514135.103514698	45	17	14	10	10	25	59	21	5	60	59	42	14	4	15
4.103664240.103665268	238	153	89	83	83	119	200	152	17	212	226	191	52	40	70
4.103783105.103783409	18	9	2	1	8	8	39	18	3	32	31	34	9	5	16
4.105887671.105888608	81	71	29	26	36	28	89	66	3	102	140	68	24	15	39
4.105897242.105897853	48	41	14	13	15	18	37	28	8	50	71	21	12	11	23
4.105981480.105983227	324	196	117	121	99	203	292	219	40	346	276	277	69	74	147
4.106117349.106118233	116	103	36	39	40	52	111	97	13	150	166	107	24	15	46
4.108649997.108650809	41	35	150	112	40	19	96	62	43	66	80	53	45	68	106
4.109900944.109901782	56	36	59	76	39	12	57	52	30	27	38	35	43	37	96
4.109961519.109961905	36	42	18	16	16	24	31	47	1	31	43	36	13	11	14
4.109967518.109968291	49	38	302	89	46	14	57	51	40	87	62	25	56	89	130
4.110911464.110912578	177	118	53	46	50	97	167	102	9	142	159	110	43	22	52
4.113030839.113031363	60	47	25	24	16	25	68	29	8	69	73	36	19	15	21
4.113233487.113234488	87	94	27	29	30	24	103	55	9	97	134	58	16	15	28
4.114711628.114712237	45	36	13	18	13	20	44	37	4	51	68	21	9	7	21
4.114744494.114744625	24	17	10	4	6	19	22	29	2	33	30	20	10	4	7
4.114758346.114759260	83	68	34	26	31	47	79	74	5	108	138	61	30	22	34
4.116196877.116197100	27	23	3	7	12	10	26	24	3	24	39	14	6	8	15
4.116436508.116437135	51	44	14	24	14	17	62	32	1	72	91	39	17	14	42
4.116702442.116703442	113	58	21	19	27	35	117	85	6	133	158	60	23	11	34
4.122089800.122090738	172	168	41	54	58	74	165	102	7	203	221	111	44	20	67
4.122495700.122496052	56	36	7	27	18	24	54	36	3	59	58	34	13	13	17
4.123285916.123286727	29	21	129	85	53	18	44	77	25	49	40	20	40	40	66
4.123509680.123510556	44	49	17	18	18	25	56	41	7	78	117	58	18	10	25
4.123683733.123684376	37	28	11	19	13	28	65	38	6	43	78	33	13	7	22
4.125552917.125553243	22	19	136	59	25	23	25	31	17	74	40	32	40	47	92
4.127093204.127093696	74	58	13	12	16	25	41	38	1	34	68	44	11	7	13
4.130949603.130950019	36	31	16	12	20	35	38	26	3	63	52	32	3	11	17
4.138956792.138957546	95	60	41	37	20	42	84	63	10	127	128	72	28	29	49
4.139327269.139327847	35	52	11	24	16	17	55	37	2	52	64	42	23	16	18
4.139898591.139899050	65	42	25	23	17	36	51	57	5	53	54	40	18	15	16
4.140129054.140130239	151	92	47	59	32	79	128	109	12	118	109	95	32	21	39
4.140134912.140135946	192	134	64	82	60	97	237	96	23	159	171	135	36	37	56
4.140595700.140597057	177	129	67	57	70	88	199	145	20	182	197	148	48	24	75
4.140778274.140778524	15	20	70	42	26	10	25	33	16	21	15	22	14	50	42
4.140978912.140979155	46	27	16	10	13	17	28	36	3	31	36	28	9	9	22
4.141711014.141712616	229	186	75	82	63	108	187	150	24	251	249	189	70	58	90
4.141721774.141722426	87	42	10	12	18	22	61	30	9	46	48	36	16	6	18
4.143882174.143883437	110	73	38	41	41	49	128	78	9	159	166	74	38	22	45
4.144423345.144423832	41	32	10	17	12	15	50	25	5	53	57	25	12	11	18
4.145259314.145259642	31	26	11	15	12	17	31	26	5	26	42	35	9	7	13
4.145468995.145469339	30	27	11	5	11	19	35	26	3	39	56	37	10	5	9
4.145495287.145495426	29	19	1	4	9	9	15	6	2	22	27	24	8	6	13
4.145815521.145816301	92	116	35	36	32	69	88	65	16	147	164	92	27	20	42
4.146401210.146401927	69	54	27	18	25	36	53	42	3	70	86	47	20	19	28
4.146751925.146752460	93	63	33	37	24	46	89	69	11	109	104	76	22	22	45
4.147328695.147329602	49	20	99	113	28	21	54	65	26	63	45	62	77	48	115
4.147471434.147471701	41	43	17	22	14	16	29	36	4	47	52	25	12	10	15
4.148746790.148747835	117	96	37	42	34	80	91	60	5	110	148	83	33	24	38
4.148752792.148754005	110	133	66	39	24	79	102	95	12	99	145	99	50	39	56
4.149117138.149117673	57	58	20	19	18	14	30	31	4	86	96	34	13	18	43
4.150937647.150938088	40	25	9	9	11	31	39	27	7	55	49	47	15	10	24
4.151047329.151047656	38	36	13	11	16	17	41	34	3	55	66	33	11	7	19
4.152324704.152325415	54	40	17	17	31	32	48	70	4	74	71	40	9	16	27
4.152786360.152787139	194	147	81	61	72	93	204	124	10	182	172	106	41	36	81
4.152787447.152788026	37	37	17	16	10	16	44	44	4	36	42	26	9	9	12
4.152808355.152809332	112	81	33	29	29	65	106	78	6	111	108	84	37	22	59
4.153273578.153274344	37	18	186	77	44	12	55	43	36	93	41	27	35	77	79
4.153320361.153320707	47	32	15	18	11	20	50	40	5	53	40	30	3	9	25
4.153345923.153346785	59	59	18	26	22	29	54	56	6	67	80	59	21	12	27
4.153966310.153967277	73	54	21	16	20	38	63	53	6	65	73	61	14	8	33
4.154678490.154679495	118	76	33	43	35	47	103	54	15	119	139	67	31	27	37
4.155327078.155327648	80	58	9	20	19	36	43	29	6	98	118	68	15	9	21
4.156536230.156537537	96	73	55	33	44	21	100	50	14	198	226	99	29	19	61
4.157117183.157117348	35	23	11	9	12	16	33	22	4	47	71	19	4	14	12
4.157250908.157251614	50	46	22	16	9	39	52	46	11	66	72	42	10	19	33
4.157696853.157697672	48	57	8	12	22	43	59	60	1	113	96	45	17	14	20
4.158913345.158913712	28	25	13	11	10	13	31	51	2	70	37	12	8	3	15
4.159460160.159460490	35	38	10	13	14	16	45	40	2	52	55	32	10	14	17
4.159687373.159688467	112	96	33	38	33	59	143	102	12	117	107	83	22	30	45
4.161046611.161047331	12	9	123	103	56	5	10	4	8	24	20	9	55	46	66
4.162502403.162502756	49	58	22	17	18	23	48	38	2	85	120	22	11	8	13
4.162525705.162526235	53	47	12	15	16	26	55	35	5	76	106	39	23	9	23
4.163195268.163195955	92	83	20	31	30	34	74	43	13	112	125	53	17	15	22
4.164512815.164513107	34	33	8	7	16	19	28	49	1	54	48	26	10	10	17
4.164527471.164528997	84	87	35	29	22	41	100	69	10	90	168	78	23	19	54
4.166124954.166126283	66	72	33	16	24	58	67	56	13	82	112	78	29	19	42
4.166220556.166220794	47	53	18	20	12	13	56	46	6	58	80	41	10	10	19
4.169424995.169425620	36	30	22	18	11	22	42	46	2	57	62	23	12	9	20
4.169662638.169663384	80	64	24	22	16	34	75	50	6	64	81	38	13	13	20
4.169680766.169681689	102	88	33	21	36	34	81	56	8	93	91	59	26	19	43
4.170214118.170215399	127	112	43	46	47	79	125	85	11	131	136	97	29	28	44
4.170739208.170739923	44	28	19	18	8	16	35	29	2	75	64	43	5	12	32
4.173679865.173680687	58	39	29	13	17	25	47	32	6	83	92	68	15	10	35
4.174339871.174340210	36	30	10	8	9	20	31	26	1	24	46	17	10	4	10
4.174832051.174832605	48	46	22	19	17	23	41	37	3	70	80	40	7	8	18
4.176934567.176935115	92	55	20	16	23	32	65	34	9	83	84	45	23	17	25
4.177011214.177011814	45	43	19	25	15	17	56	48	6	67	70	38	16	10	25
4.181020955.181021856	96	80	22	36	35	34	52	45	10	79	91	46	21	19	32
4.183784767.183785289	55	39	22	12	7	25	76	35	6	56	67	18	16	7	17
4.184313416.184313878	86	58	33	25	34	40	81	58	5	74	73	50	14	17	36
4.184542904.184543499	78	58	21	21	22	24	44	42	6	65	58	53	13	12	22
4.185234901.185235939	148	128	47	47	34	98	157	95	19	130	146	107	30	34	33
4.185260519.185261081	53	50	32	33	15	41	47	74	12	66	82	78	16	10	17
4.185660496.185661448	78	82	31	27	21	29	77	66	6	72	72	60	31	14	37
4.185734163.185735413	139	151	66	51	50	61	151	133	6	137	129	94	36	26	48
4.185769240.185770335	49	50	19	27	16	26	63	51	2	57	56	43	23	10	16
4.185885253.185886537	86	88	32	24	28	28	87	81	3	87	85	58	22	16	45
4.186037050.186037522	37	27	133	73	44	12	39	47	22	99	49	31	34	74	72
4.187055375.187055949	108	65	17	41	31	55	78	44	8	96	117	69	15	14	23
5.12030.12484	7	11	9	16	3	5	15	5	36	14	15	8	11	6	18
5.757507.759890	199	131	472	454	215	97	146	122	130	226	178	195	227	334	411
5.956869.958256	65	47	205	114	93	38	76	39	46	77	60	50	76	90	132
5.963364.964784	125	85	553	261	137	61	153	130	83	93	96	98	185	202	309
5.1185567.1186839	57	59	149	98	54	42	87	73	58	66	60	63	80	89	120
5.6704870.6705728	71	59	36	19	25	74	45	52	9	56	96	70	25	13	18
5.8020009.8020328	40	19	6	8	9	30	31	37	3	32	49	33	5	5	24
5.8457051.8458390	317	389	640	613	357	165	300	240	247	262	349	6	331	403	747
5.10423027.10423458	51	44	30	17	19	52	59	42	5	75	94	38	16	14	26
5.10485035.10485918	77	42	191	120	92	55	123	89	46	96	64	74	72	105	107
5.10876282.10877123	69	85	21	28	21	43	105	63	10	66	99	48	23	16	36
5.14362554.14363018	48	47	19	13	26	39	45	35	6	53	67	27	14	5	17
5.14588340.14588812	75	47	12	26	25	33	56	30	7	76	79	33	17	17	23
5.14998610.14999082	41	31	13	12	13	27	39	25	1	39	42	22	6	5	9
5.17381950.17382503	39	56	14	21	21	21	39	36	4	87	99	45	13	9	23
5.17413445.17413673	30	29	12	14	9	29	28	22	4	46	61	23	9	14	19
5.17928735.17929093	50	55	16	10	11	23	26	22	4	48	71	22	8	12	16
5.20536625.20537233	50	46	27	33	21	36	59	39	4	97	110	40	18	15	21
5.23506546.23508081	286	235	1218	700	490	213	525	337	275	821	412	469	359	483	801
5.30436665.30437188	83	64	21	30	28	40	111	80	11	112	133	62	16	16	44
5.32027363.32028549	70	62	340	154	46	34	91	93	52	167	106	60	82	109	134
5.32176345.32176791	70	57	33	25	19	29	77	37	7	58	70	36	15	12	22
5.32540239.32541235	84	139	40	48	44	59	102	67	14	113	160	71	44	22	43
5.32583768.32584055	31	25	8	5	11	16	16	14	3	18	23	12	3	5	8
5.33299659.33300951	182	139	55	67	62	97	167	117	18	202	200	140	53	40	71
5.34205369.34205885	80	59	18	16	21	18	48	41	7	56	77	49	14	10	23
5.34686596.34687551	50	26	208	62	46	20	40	53	31	69	55	59	56	84	95
5.35856447.35857339	88	80	61	34	22	44	76	83	5	99	86	61	20	19	33
5.35884263.35885191	52	63	61	35	15	37	58	48	4	60	97	56	12	13	27
5.36723911.36724556	97	73	14	13	19	25	47	64	5	61	101	63	20	11	25
5.38453177.38454321	230	128	66	53	72	108	189	120	19	150	140	141	51	36	71
5.39076711.39077442	49	26	13	7	12	20	41	42	2	55	62	42	13	6	19
5.39461066.39461662	68	51	19	25	18	58	59	49	6	69	55	49	15	12	18
5.40356016.40356874	66	94	28	39	30	25	90	57	10	94	148	68	27	19	42
5.40388325.40388676	48	31	16	14	13	16	35	25	5	35	67	23	7	7	7
5.40406844.40407483	93	61	29	27	25	25	59	53	5	114	69	36	22	17	36
5.40429987.40430178	36	29	9	15	8	7	16	24	1	45	40	18	11	6	21
5.40486491.40487607	85	59	39	24	20	49	70	49	11	74	84	83	24	24	34
5.40672429.40673332	64	53	15	23	16	20	57	45	9	76	83	36	14	9	25
5.42982035.42982543	35	17	78	61	38	18	27	44	19	31	34	26	32	25	46
5.49930625.49931111	47	41	10	27	14	21	75	55	6	73	53	32	6	14	11
5.50023046.50023314	17	23	8	3	5	3	11	16	1	27	33	25	4	8	11
5.50148645.50149689	154	135	44	49	49	80	130	88	13	206	281	115	40	23	70
5.52304694.52304837	31	16	20	14	8	20	15	16	2	21	39	28	12	1	9
5.54068356.54069077	61	59	16	22	25	31	67	24	2	82	86	65	12	13	17
5.54128714.54129160	47	46	19	13	10	16	43	30	5	36	49	46	16	7	29
5.55418942.55420448	148	113	683	359	149	111	268	274	97	252	201	239	199	238	430
5.55936520.55937179	85	50	25	26	22	34	103	54	4	48	78	47	27	19	32
5.55965488.55966333	203	150	49	70	41	91	200	101	13	131	139	108	44	27	45
5.56678986.56679656	27	24	143	54	17	16	25	51	17	66	34	43	61	47	72
5.56784051.56784657	31	16	150	65	16	13	29	43	15	49	43	33	57	59	96
5.56790320.56790899	43	20	116	53	33	14	34	34	24	41	45	61	49	58	88
5.58883224.58883883	42	28	69	44	45	15	51	53	53	57	47	35	23	74	61
5.59502892.59503275	106	80	21	25	30	53	119	56	3	81	114	62	19	11	32
5.59553482.59554021	42	30	14	14	19	22	77	26	3	46	55	34	12	11	25
5.60616439.60617130	63	59	18	16	16	38	49	56	8	48	61	38	22	10	22
5.64337272.64337839	45	42	29	20	14	41	32	51	5	46	52	47	17	8	17
5.64361816.64362713	94	54	16	22	27	49	88	36	8	84	109	47	14	19	30
5.65086075.65086790	101	55	40	17	20	41	51	72	9	43	53	82	25	17	18
5.65647159.65648534	109	98	50	37	37	53	141	92	20	105	143	88	35	18	50
5.65849965.65850492	67	46	21	26	27	53	58	34	9	53	66	74	12	11	15
5.66488681.66489742	102	74	29	29	25	58	90	57	14	71	76	66	27	16	30
5.66498463.66499505	87	94	42	29	42	44	82	58	7	57	82	79	26	4	30
5.67492505.67493320	97	75	25	45	32	55	126	71	3	97	104	61	29	24	38
5.67731199.67731858	78	65	30	21	23	27	61	37	6	46	72	46	13	14	34
5.67814847.67815397	51	55	13	24	29	46	78	60	2	63	52	25	20	12	27
5.70989707.70990455	41	30	178	116	26	13	74	44	33	94	62	53	57	89	101
5.71813502.71814416	101	85	28	33	33	61	128	95	13	106	90	85	29	27	38
5.73155404.73156211	73	75	36	35	19	47	76	65	5	90	97	65	20	9	22
5.73711403.73712178	68	56	251	146	83	23	117	112	58	138	116	92	92	88	166
5.74274142.74274531	31	25	15	9	5	7	22	27	2	34	23	26	9	10	10
5.76034322.76035527	127	95	398	235	112	82	116	115	70	151	127	166	160	154	289
5.76240405.76241645	47	45	163	96	43	23	81	48	40	82	47	52	42	68	93
5.77844591.77845512	209	193	95	89	90	114	311	156	18	207	226	153	60	33	82
5.78183332.78183837	62	41	11	15	25	47	64	27	5	29	49	63	10	12	23
5.78712293.78712843	75	60	13	23	25	28	66	31	7	54	58	40	17	10	22
5.79418325.79419051	64	55	17	20	24	33	79	47	4	51	60	45	18	9	15
5.79420969.79422247	163	134	62	48	49	81	126	86	10	99	99	121	45	26	48
5.79500500.79501368	37	39	216	171	47	24	51	29	44	85	64	27	42	100	124
5.79904546.79904985	43	37	14	20	13	16	41	36	4	21	39	24	11	7	11
5.81194373.81194717	38	31	15	19	18	18	40	38	2	36	39	41	7	3	19
5.81470015.81470395	70	42	21	28	16	37	55	38	6	53	55	43	25	10	16
5.82608304.82609133	72	78	26	32	24	38	74	69	7	101	90	53	26	10	33
5.83046517.83047204	86	48	20	16	15	20	69	51	3	103	95	33	19	16	22
5.88124720.88125835	108	92	40	48	19	48	109	59	10	133	149	69	26	28	57
5.88589530.88590137	53	34	11	18	15	20	59	44	5	50	65	37	9	8	16
5.88598498.88599244	66	43	16	13	13	32	53	36	4	47	76	49	18	4	20
5.89427439.89428050	47	49	14	13	16	28	54	37	3	64	75	26	13	10	29
