donor21_Normal_sample21_14	donor21_Normal_sample21_6	donor21_MDS_sample21_16	donor21_MDS_sample21_29	donor21_MDS_sample21_31	donor22_Normal_sample22_22	donor22_Normal_sample22_27	donor22_Normal_sample22_45	donor22_MDS_sample22_44b	donor23_Normal_sample23_13	donor23_Normal_sample23_28	donor23_Normal_sample23_5	donor23_MDS_sample23_24	donor23_MDS_sample23_38	donor23_MDS_sample23_6
1.111415061.111416177	156	113	55	51	71	62	165	108	12	143	169	134	35	38	56
1.111670724.111671419	54	39	13	16	27	26	69	36	6	53	55	41	14	10	17
1.112158276.112159667	176	111	44	42	38	96	173	105	12	87	132	125	49	15	31
1.112805771.112807529	44	32	293	119	31	20	63	70	34	134	80	75	99	117	163
1.113396518.113397909	66	57	165	156	59	26	29	25	19	27	21	16	32	38	70
1.117337130.117338221	118	122	33	42	41	70	147	72	12	84	98	68	37	19	29
1.117543956.117544717	74	63	31	29	24	48	76	48	9	65	78	74	20	15	40
1.119866048.119866608	85	53	15	26	27	23	63	32	5	83	98	47	17	19	26
1.121253076.121254313	99	114	32	24	14	40	101	76	4	105	135	96	28	16	28
1.121257947.121259055	131	84	31	43	43	57	135	78	12	112	127	97	35	25	52
1.145542362.145543458	117	118	415	294	107	58	166	109	72	181	122	128	128	176	249
1.147012094.147014270	154	112	550	324	125	74	232	182	106	266	179	122	130	231	302
1.147266542.147267076	126	72	264	201	74	52	153	95	62	90	96	145	123	120	224
1.150985535.150986991	76	79	132	114	46	31	105	69	59	64	65	81	106	85	154
1.153346623.153346980	45	37	17	24	15	19	44	20	1	23	36	21	11	7	10
1.153853238.153853913	25	38	199	139	31	10	46	43	13	109	44	33	35	65	111
1.156522510.156523421	138	109	39	61	42	48	185	71	10	70	121	88	22	28	37
1.156742358.156743624	46	42	129	87	44	25	76	57	41	50	70	68	65	63	148
1.157239526.157239929	51	48	13	19	12	24	38	8	7	40	37	33	13	8	12
1.157818988.157819710	78	57	7	9	7	21	62	21	1	31	34	30	10	4	25
1.157926624.157926994	70	46	16	20	17	35	47	25	2	29	27	45	16	14	23
1.158253764.158254136	68	50	8	11	7	54	31	46	4	24	26	51	17	15	15
1.158255268.158257115	392	336	135	106	152	256	434	252	43	283	283	288	100	66	140
1.159037590.159038908	135	130	53	53	52	79	147	108	14	139	112	109	47	27	49
1.159616274.159617002	74	61	28	32	25	32	104	67	7	74	73	64	17	18	32
1.160113474.160113941	76	76	22	31	37	45	102	49	5	59	54	46	19	18	18
1.160918727.160919643	53	39	200	100	44	46	78	63	56	71	51	69	58	53	99
1.161688503.161689010	62	40	8	16	5	12	25	17	4	19	28	24	8	9	9
1.161998485.161999032	112	66	23	36	29	54	125	48	3	81	81	65	28	15	39
1.164743734.164744832	61	43	152	112	74	30	82	57	61	90	72	47	52	71	119
1.166871348.166872234	97	138	48	50	54	71	100	76	10	108	135	105	34	19	58
1.167532610.167533388	142	142	28	45	57	57	139	69	13	128	130	68	42	16	46
1.168198024.168198707	58	48	24	18	18	20	56	40	5	48	54	32	16	14	18
1.168341601.168342883	55	32	137	71	61	25	66	60	45	29	37	46	57	60	96
1.168472890.168474112	241	217	94	80	69	105	277	165	18	210	270	172	57	40	86
1.168595511.168596040	69	58	24	16	22	33	53	60	7	62	88	44	16	15	23
1.169010759.169011010	37	37	11	11	14	11	26	29	1	49	34	16	14	16	12
1.169013222.169014600	192	166	70	66	59	85	184	122	18	136	196	114	53	40	74
1.169573828.169574725	179	160	88	68	55	98	287	137	20	143	194	128	42	30	72
1.171181977.171182755	61	61	13	27	28	25	69	54	8	77	96	60	23	13	30
1.171623351.171625143	121	75	450	379	85	36	193	124	73	283	141	110	139	174	277
1.172787410.172788629	237	190	71	68	58	142	157	111	22	172	179	177	78	45	60
1.172908459.172908952	61	35	14	21	12	35	67	22	7	48	59	41	22	9	18
1.174911673.174912613	87	85	30	41	22	32	93	63	7	83	87	75	27	29	41
1.175157958.175158595	90	90	33	40	46	52	119	64	6	127	115	65	31	25	46
1.175480674.175481285	49	78	24	21	25	42	59	35	6	64	75	57	16	18	28
1.175795753.175796293	56	34	20	18	19	29	38	40	7	55	47	36	11	10	12
1.178035766.178036884	150	129	67	44	43	115	127	145	15	154	163	157	63	34	63
1.178055915.178056274	72	52	25	22	21	29	47	43	7	71	80	47	21	17	18
1.178088523.178089325	120	91	31	29	28	78	89	97	10	113	116	111	34	20	37
1.178577258.178578134	61	51	44	30	26	44	72	60	5	96	120	59	20	22	37
1.179057373.179058737	162	142	47	49	40	68	141	83	17	119	146	96	43	21	39
1.181031154.181032421	262	241	63	57	70	137	220	135	22	168	189	152	57	34	64
1.183865481.183866194	53	80	26	22	24	31	49	58	6	51	59	40	16	14	20
1.183880363.183880904	52	39	23	13	20	25	25	29	2	60	40	29	13	13	18
1.183986635.183986921	37	29	11	7	14	10	35	26	3	36	41	27	10	6	10
1.184211401.184212122	30	23	152	66	56	15	38	38	35	72	38	20	39	77	108
1.184425104.184425603	37	33	7	10	11	14	13	25	4	27	36	24	5	9	14
1.184794806.184795370	59	35	14	18	24	29	56	50	8	38	80	49	19	12	22
1.185342934.185343612	57	69	42	22	21	58	49	54	8	59	76	59	25	15	26
1.185495857.185496014	35	27	9	8	9	7	26	23	4	33	23	17	8	10	12
1.186116242.186116437	30	32	15	13	14	19	31	28	2	59	75	18	21	5	16
1.186586946.186588073	87	106	32	32	43	40	106	63	13	110	146	72	26	21	41
1.186624899.186625457	79	49	27	24	34	62	63	45	4	70	68	51	21	13	33
1.186629326.186629462	27	22	10	12	11	11	28	32	3	31	46	21	11	4	12
1.192515046.192515828	66	65	26	34	20	34	76	53	5	72	103	66	22	9	37
1.192519844.192520694	90	83	37	31	16	72	53	65	6	92	108	87	41	15	33
1.192544488.192545275	106	74	37	32	32	53	84	83	13	142	131	104	32	37	66
1.196369954.196370328	58	41	23	9	20	17	38	32	5	43	51	20	8	5	17
1.198602653.198603285	64	48	11	14	16	26	51	52	1	57	87	49	13	6	19
1.198607712.198608631	100	77	29	26	26	41	91	90	10	103	86	65	32	19	32
1.198633289.198634172	95	74	44	37	35	32	88	90	5	83	125	61	23	12	53
1.200596756.200598003	105	76	17	38	25	51	66	54	5	55	82	61	26	15	22
1.201455004.201455968	86	69	220	194	79	38	141	117	83	115	132	108	132	136	213
1.201688735.201689728	51	53	248	98	53	23	32	48	53	62	56	29	53	74	90
1.203349979.203350988	69	68	21	36	20	29	69	36	6	63	43	45	28	13	15
1.203641249.203642022	39	27	141	79	34	21	35	47	28	63	36	41	44	82	77
1.204481912.204483108	142	86	40	53	41	70	106	72	10	94	65	77	32	27	26
1.206097600.206098102	82	64	22	31	28	40	89	34	8	54	55	72	23	14	30
1.206290149.206290794	169	90	33	41	33	79	153	62	10	65	103	99	25	30	38
1.206852901.206853607	100	56	32	24	22	33	69	39	5	61	55	61	17	14	34
1.208239062.208239736	105	63	22	31	29	61	85	56	4	55	63	74	27	17	28
1.209212740.209213346	61	54	21	11	15	40	60	40	11	46	94	76	15	12	25
1.209584646.209585354	115	124	35	42	35	48	106	69	10	138	160	67	28	9	52
1.209833266.209833829	67	77	35	30	22	35	76	67	7	72	82	54	18	22	23
1.209928969.209930789	302	236	109	110	122	149	345	215	24	330	332	208	68	65	155
1.210854319.210855059	69	81	28	37	18	32	87	50	7	80	105	60	24	21	22
1.210865757.210866950	141	129	44	75	59	73	151	83	18	178	215	104	44	40	65
1.211779492.211781165	202	205	78	74	64	92	221	179	22	193	219	142	66	45	91
1.212716033.212716703	108	73	28	37	34	57	111	62	10	82	89	68	27	12	30
1.212925371.212926547	73	60	22	25	30	27	74	49	3	69	69	51	29	12	22
1.213004794.213005763	94	55	23	30	32	49	94	47	12	54	77	56	18	16	25
1.214372009.214372490	54	36	9	10	10	22	41	34	6	58	45	36	7	8	19
1.219760898.219761840	73	68	30	29	34	21	72	53	8	84	99	44	23	20	21
1.221087641.221088796	111	92	30	33	45	53	132	84	10	84	111	124	28	28	71
1.221242288.221243218	55	64	22	29	31	23	40	58	7	61	46	58	12	13	21
1.221949905.221951388	103	71	49	46	18	58	88	68	8	101	86	79	22	25	46
1.221951625.221952387	86	61	20	23	19	24	81	30	7	41	63	44	15	13	33
1.222945719.222947028	104	73	24	44	35	54	144	60	14	103	124	70	18	21	51
1.223348881.223349355	63	58	13	24	19	35	58	52	10	71	58	32	15	7	26
1.223808758.223809550	97	78	21	29	32	61	112	66	13	67	86	89	32	21	38
1.223888500.223889318	70	55	260	100	49	55	52	84	35	83	58	112	151	105	149
