baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000226763	166.405100630899	2.60971215418627	0.138365962474872	18.7810373913412	1.07950241649702e-78	2.70210249873369e-74
ENSG00000131373	1667.01263635855	-0.772361143415548	0.0525260178705973	-14.7031391127693	6.15394838128319e-49	7.70197409659497e-45
ENSG00000118137	972.23478119469	5.57282928433161	0.379953094066615	14.4086308725634	4.5667360107363e-47	3.81033230282468e-43
ENSG00000135341	7287.00843411615	-0.926190376362374	0.0645032361461787	-14.3525684906481	1.02663448605617e-46	6.42442195511798e-43
ENSG00000084674	1927.19559728801	5.79628137575267	0.443354006057061	14.2539680494975	4.23516508870019e-46	2.12020834670509e-42
ENSG00000189334	872.157714195179	5.67269069095002	0.386905468025562	14.2028651095665	8.79420696954917e-46	3.66879657757975e-42
ENSG00000099399	200.61140695259	4.20094147166748	0.296591173618599	13.9781902095907	2.11805796121023e-44	7.57387268957903e-41
ENSG00000128739	3350.33335942469	1.6535433332224	0.118344417120696	13.9416173812092	3.53830007159826e-44	1.1070898636522e-40
ENSG00000171560	875.630110326398	5.61376887720598	0.473561070155138	13.3052722883297	2.15705862599863e-40	5.99925938526352e-37
ENSG00000131269	3422.52523809191	-1.25574314044782	0.0966310786857981	-12.9832803565398	1.52218754168341e-38	3.81018763558774e-35
ENSG00000230204	313.03511862607	4.88847900967559	0.397885425670126	12.032800452722	2.38916946235004e-33	5.43666371018945e-30
ENSG00000171208	3319.26640170055	1.33924986788757	0.114001263644298	11.7505765802336	7.01386298112884e-32	1.4630333690053e-28
ENSG00000110244	121.615786519222	6.12465564327353	0.460791003483316	11.7298034221169	8.96666718275552e-32	1.7264972788581e-28
ENSG00000171564	858.5184911614	5.05125728250643	0.473529521252075	11.5841819891661	4.95675774396558e-31	8.86232879208589e-28
ENSG00000182983	535.012358942335	3.07459070608766	0.263767308055043	11.5370794071571	8.57887678157385e-31	1.43158576479717e-27
ENSG00000184226	478.621304095056	2.73443791176761	0.234401082542941	11.5043679941834	1.2540460326347e-30	1.96187664017995e-27
ENSG00000081051	6837.16908145254	4.91441297240319	0.51398022694417	11.4381030441093	2.69718327097923e-30	3.97136437975771e-27
ENSG00000137710	7398.12401373947	-1.07373905214876	0.0940820751935385	-11.4001710247027	4.17298505778938e-30	5.80299938786255e-27
ENSG00000174460	751.610988343621	-3.72055366515841	0.334107256044992	-11.352203456261	7.23169449006096e-30	9.5271865674061e-27
ENSG00000146085	3070.58355717641	-0.936216243848113	0.0824779570574188	-11.3152909888086	1.10235950350671e-29	1.37965803661382e-26
ENSG00000092621	4242.04273958377	-1.72320990212601	0.153543623497774	-11.1779281202273	5.22966584230496e-29	6.23351265232074e-26
ENSG00000197417	2689.10496967514	-1.27013602090941	0.114212741515261	-11.1143835472967	1.06785585001987e-28	1.21497726281125e-25
ENSG00000115355	17984.5427407466	-1.15647047093095	0.104966175015702	-11.0197385897228	3.06949182012759e-28	3.34054129346146e-25
